state,district,url,2016_republican_candidate,2016_republican_pct,2016_republican_votes,2014_republican_candidate,2014_republican_pct,2014_republican_votes,2014_democratic_candidate,2014_democratic_pct,2014_democratic_votes,2012_republican_candidate,2012_republican_pct,2012_republican_votes,2024_republican_candidate,2024_republican_pct,2024_republican_votes,2024_democratic_candidate,2024_democratic_pct,2024_democratic_votes,2022_republican_candidate,2022_republican_pct,2022_republican_votes,2022_libertarian_candidate,2022_libertarian_pct,2022_libertarian_votes,2020_republican_candidate,2020_republican_pct,2020_republican_votes,2020_democratic_candidate,2020_democratic_pct,2020_democratic_votes,2018_republican_candidate,2018_republican_pct,2018_republican_votes,2018_democratic_candidate,2018_democratic_pct,2018_democratic_votes,2016_democratic_candidate,2016_democratic_pct,2016_democratic_votes,2012_democratic_candidate,2012_democratic_pct,2012_democratic_votes,2022_democratic_candidate,2022_democratic_pct,2022_democratic_votes,2020_libertarian_candidate,2020_libertarian_pct,2020_libertarian_votes,2022_independent_candidate,2022_independent_pct,2022_independent_votes,2014_independent_candidate,2014_independent_pct,2014_independent_votes,2020_independent_candidate,2020_independent_pct,2020_independent_votes,2016_libertarian_candidate,2016_libertarian_pct,2016_libertarian_votes,2016_independent_candidate,2016_independent_pct,2016_independent_votes,2014_libertarian_candidate,2014_libertarian_pct,2014_libertarian_votes,2012_libertarian_candidate,2012_libertarian_pct,2012_libertarian_votes,2016_green_candidate,2016_green_pct,2016_green_votes,2024_independent_candidate,2024_independent_pct,2024_independent_votes,2024_green_candidate,2024_green_pct,2024_green_votes,2012_independent_candidate,2012_independent_pct,2012_independent_votes,2018_green_candidate,2018_green_pct,2018_green_votes,2012_green_candidate,2012_green_pct,2012_green_votes,2024_libertarian_candidate,2024_libertarian_pct,2024_libertarian_votes,2018_libertarian_candidate,2018_libertarian_pct,2018_libertarian_votes,2022_green_candidate,2022_green_pct,2022_green_votes,2018_independent_candidate,2018_independent_pct,2018_independent_votes,2014_green_candidate,2014_green_pct,2014_green_votes,2020_green_candidate,2020_green_pct,2020_green_votes,2012_conservative_candidate,2012_conservative_pct,2012_conservative_votes,2021_democratic_candidate,2021_democratic_pct,2021_democratic_votes,2024_conservative_candidate,2024_conservative_pct,2024_conservative_votes,2016_conservative_candidate,2016_conservative_pct,2016_conservative_votes,2021_republican_candidate,2021_republican_pct,2021_republican_votes,2021_independent_candidate,2021_independent_pct,2021_independent_votes,2021_libertarian_candidate,2021_libertarian_pct,2021_libertarian_votes,2014_conservative_candidate,2014_conservative_pct,2014_conservative_votes,2020_conservative_candidate,2020_conservative_pct,2020_conservative_votes,2022_conservative_candidate,2022_conservative_pct,2022_conservative_votes,2018_conservative_candidate,2018_conservative_pct,2018_conservative_votes,2019_republican_candidate,2019_republican_pct,2019_republican_votes,2019_democratic_candidate,2019_democratic_pct,2019_democratic_votes,2019_libertarian_candidate,2019_libertarian_pct,2019_libertarian_votes,2019_green_candidate,2019_green_pct,2019_green_votes,2023_democratic_candidate,2023_democratic_pct,2023_democratic_votes,2023_republican_candidate,2023_republican_pct,2023_republican_votes,2023_libertarian_candidate,2023_libertarian_pct,2023_libertarian_votes,2023_independent_candidate,2023_independent_pct,2023_independent_votes
Florida,22,https://ballotpedia.org/Florida's_22nd_Congressional_District,Andrea Leigh McGee,41.1%,"138,737",Paul Spain,42%,"90,685",Lois FrankelIncumbent,58%,"125,404",Adam Hasner,45.4%,"142,050",Dan Franzese(R),45.0,"165,248",Lois Frankel(D),55.0,"201,608",Dan Franzese(R),44.9,"122,194",,,,James Pruden(R),41.4,"166,553",Theodore E. Deutch(D),58.6,"235,764",Nicolas Kimaz(R),38.0,"113,049",Theodore E. Deutch(D),62.0,"184,634",Ted DeutchIncumbent,58.9%,"199,113",Lois Frankel,54.6%,"171,021",Lois Frankel(D),55.1,"150,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,23,https://ballotpedia.org/Florida's_23rd_Congressional_District,Joe Kaufman,40.5%,"130,818",Joe Kaufman,37.3%,"61,519",Debbie Wasserman SchultzIncumbent,62.7%,"103,269",Karen Harrington,35.6%,"98,096",Joe Kaufman(R),47.6,"178,006",Jared Evan Moskowitz(D),52.4,"196,311",Joe Budd(R),46.8,"130,681",,,,D.B. Fugate(R) (Write-in),0.0,37,Debbie Wasserman Schultz(D),58.2,"221,239",Joe Kaufman(R),36.0,"99,446",Debbie Wasserman Schultz(D),58.5,"161,611",Debbie Wasserman SchultzIncumbent,56.7%,"183,225",Debbie Wasserman SchultzIncumbent,63.2%,"174,205",Jared Evan Moskowitz(D),51.6,"143,951",,,,,,,,,,,,,,,,Lyle Milstein,1.2%,"3,897",,,,,,,,,,,,,,,,Ilya Katz,1.1%,"3,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,24,https://ballotpedia.org/Florida's_24th_Congressional_District,,,,Dufirstson Julio Neree,10.2%,"15,239",Frederica WilsonIncumbent,86.2%,"129,192",,,,Jesus Navarro(R),31.8,"90,692",Frederica S. Wilson(D),68.2,"194,874",Jesus Navarro(R),28.2,"52,449",,,,Howard Knepper(R) (Write-in),0.0,17,Frederica S. Wilson(D),75.6,"218,825",,,,,,,Frederica WilsonIncumbent,100%,,,,,Frederica S. Wilson(D),71.8,"133,442",,,,,,,Luis Fernandez,3.7%,"5,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,25,https://ballotpedia.org/Florida's_25th_Congressional_District,Mario Diaz-BalartIncumbent,62.4%,"157,921",,,,,,,Mario Diaz-BalartIncumbent,75.6%,"151,466",Christopher Eddy(R),45.5,"156,208",Debbie Wasserman Schultz(D),54.5,"186,942",Carla Spalding(R),44.9,"105,239",,,,Mario Diaz-Balart(R),60.5,"128,672",Mary Barzee Flores(D),39.5,"84,173",Mario Diaz-Balart(R),60.5,"128,672",Mary Barzee Flores(D),39.5,"84,173",Alina Valdes,37.6%,"95,319",,,,Debbie Wasserman Schultz(D),55.1,"129,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanley Blumenthal,15.8%,"31,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,26,https://ballotpedia.org/Florida's_26th_Congressional_District,Carlos CurbeloIncumbent,53%,"148,547",Carlos Curbelo,51.5%,"83,031",Joe GarciaIncumbent,48.5%,"78,306",David RiveraIncumbent,43%,"108,820",Mario Diaz-Balart(R),70.9,"217,199",Joey David Atkins(D),29.1,"89,072",Mario Diaz-Balart(R),70.9,"143,240",,,,Carlos Gimenez(R),51.7,"177,223",Debbie Mucarsel-Powell(D),48.3,"165,407",Carlos Curbelo(R),49.1,"115,678",Debbie Mucarsel-Powell(D),50.9,"119,797",Joe Garcia,41.2%,"115,493",Joe Garcia,53.6%,"135,694",Christine Alexandria Olivo(D),29.1,"58,868",,,,,,,,,,,,,,,,Jose Peixoto,5.9%,"16,502",,,,,,,,,,,,,,,,Jose Peixoto,1.1%,"2,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,27,https://ballotpedia.org/Florida's_27th_Congressional_District,Ileana Ros-LehtinenIncumbent,54.9%,"157,917",,,,,,,Ileana Ros-LehtinenIncumbent,60.2%,"138,488",Maria Elvira Salazar(R),60.4,"199,159",Lucia Baez-Geller(D),39.6,"130,708",Maria Elvira Salazar(R),57.3,"136,038",,,,Frank Polo Sr.(R) (Write-in),0.0,76,Donna Shalala(D),48.6,"166,758",Maria Elvira Salazar(R),45.8,"115,588",Donna Shalala(D),51.8,"130,743",Scott Fuhrman,45.1%,"129,760",Manny Yevancey,36.9%,"85,020",Annette Taddeo(D),42.7,"101,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Joe Cruz-Wiggins,2.9%,"6,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,28,https://ballotpedia.org/Florida's_28th_Congressional_District,,,,,,,,,,,,,Carlos Gimenez(R),64.6,"210,057",Phil Ehr(D),35.4,"115,280",Carlos Gimenez(R),63.7,"134,457",,,,,,,,,,,,,,,,,,,,,,Robert Asencio(D),36.3,"76,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,3,https://ballotpedia.org/Florida's_3rd_Congressional_District,Ted YohoIncumbent,56.6%,"193,843",Ted YohoIncumbent,65%,"148,691",Marihelen Wheeler,32.3%,"73,910",Ted Yoho,64.7%,"204,331",Kat Cammack(R),61.6,"241,174",Tom Wells(D),38.4,"150,283",Kat Cammack(R),62.5,"178,101",,,,Kat Cammack(R),57.1,"223,075",Adam Christensen(D),42.9,"167,326",Ted Yoho(R),57.6,"176,616",Yvonne Hayes Hinson(D),42.4,"129,880",Kenneth McGurn,39.8%,"136,338","Jacques Rene Gaillot, Jr.",32.5%,"102,468",Danielle Hawk(D),36.3,"103,382",,,,,,,Howard Lawson,2.7%,"6,208",,,,,,,Tom Wells,3.7%,"12,519",,,,,,,,,,,,,,,,Michael Ricks,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,4,https://ballotpedia.org/Florida's_4th_Congressional_District,John Rutherford,70.2%,"287,509",Ander CrenshawIncumbent,78.3%,"177,887",,,,Ander CrenshawIncumbent,76.1%,"239,988",Aaron Bean(R),57.3,"222,364",LaShonda Holloway(D),42.7,"165,912",Aaron Bean(R),60.5,"165,696",,,,Gary Koniz(R) (Write-in),0.0,20,Donna Deegan(D),38.9,"196,423",John Rutherford(R),65.2,"248,420",Ges Selmont(D),32.4,"123,351",David Bruderly,27.6%,"113,088",,,,LaShonda Holloway(D),39.5,"108,402",,,,,,,Gary Koniz,6%,"13,690",,,,,,,Gary Koniz,2.2%,"9,054",,,,,,,,,,,,,,,,James Klauder,23.8%,"75,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,5,https://ballotpedia.org/Florida's_5th_Congressional_District,Glo Smith,35.8%,"108,325",Gloreatha Scurry-Smith,34.5%,"59,237",Corrine BrownIncumbent,65.5%,"112,340",LeAnne Kolb,26.3%,"70,700",John Rutherford(R),63.1,"267,471",Jay McGovern(D),36.9,"156,570",,,,,,,Gary Adler(R),34.9,"117,510",Alfred Lawson(D),65.1,"219,463",Virginia Fuller(R),33.2,"89,799",Alfred Lawson(D),66.8,"180,527",Al Lawson,64.2%,"194,549",Corrine BrownIncumbent,70.8%,"190,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruce Ray Riggs,0%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,6,https://ballotpedia.org/Florida's_6th_Congressional_District,Ron DeSantisIncumbent,58.6%,"213,519",Ron DeSantisIncumbent,62.5%,"166,254",David Cox,37.5%,"99,563",Ron DeSantis,57.2%,"195,962",Michael Waltz(R),66.5,"284,414",James Stockton(D),33.5,"143,050",Michael Waltz(R),75.3,"226,548",Joe Hannoush(L),24.7,"74,207",Michael Waltz(R),60.6,"265,393",Alan Grayson(D) (Write-in),0.0,46,Michael Waltz(R),56.3,"187,891",Nancy Soderberg(D),43.7,"145,758",William McCullough,41.4%,"151,051",Heather Beaven,42.8%,"146,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,7,https://ballotpedia.org/Florida's_7th_Congressional_District,John MicaIncumbent,48.5%,"171,583",John MicaIncumbent,63.6%,"144,474",Wesley Neuman,32.1%,"73,011",John L. MicaIncumbent,58.7%,"185,518",Cory Mills(R),56.5,"233,937",Jennifer Adams(D),43.5,"179,917",Cory Mills(R),58.5,"177,966",,,,Leo Valentin(R),43.2,"175,750",Stephanie Murphy(D),55.3,"224,946",Mike Miller(R),42.3,"134,285",Stephanie Murphy(D),57.7,"183,113",Stephanie Murphy,51.5%,"182,039",Jason Kendall,41.3%,"130,479",Karen Green(D),41.5,"126,079",,,,,,,Al Krulick,4.3%,"9,679",,,,,,,,,,,,,,,,,,,,,,,,,Fred Marra,0%,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,8,https://ballotpedia.org/Florida's_8th_Congressional_District,Bill PoseyIncumbent,63.1%,"246,483",Bill PoseyIncumbent,65.8%,"180,728",Gabriel Rothblatt,34.1%,"93,724",Bill PoseyIncumbent,58.9%,"205,432",Mike Haridopolos(R),62.2,"280,352",Sandy Kennedy(D),37.8,"170,096",Bill Posey(R),64.9,"222,128",,,,Bill Posey(R),61.4,"282,093",Jim Kennedy(D),38.6,"177,695",Bill Posey(R),60.5,"218,112",Sanjay Patel(D),39.5,"142,415",Corry Westbrook,32.5%,"127,127",Shannon Roberts,37.5%,"130,870",Joanne Terry(D),35.1,"120,080",,,,,,,,,,,,,,,,Bill Stinson,4.3%,"16,951",,,,,,,,,,,,,,,,Richard Gillmor,3.6%,"12,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,9,https://ballotpedia.org/Florida's_9th_Congressional_District,Wayne Liebnitzky,42.5%,"144,450",Carol Platt,43.1%,"74,963",Alan GraysonIncumbent,54%,"93,850",Todd Long,37.5%,"98,856",Thomas Chalifoux(R),42.6,"138,076",Darren Soto(D),55.1,"178,785",Scotty Moore(R),46.4,"93,827",,,,Bill Olson(R),44.0,"188,889",Darren Soto(D),56.0,"240,724",Wayne Liebnitzky(R),42.0,"124,565",Darren Soto(D),58.0,"172,172",Darren Soto,57.5%,"195,311",Alan Grayson,62.5%,"164,891",Darren Soto(D),53.6,"108,541",,,,,,,Marko Milakovich,2.9%,"5,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,1,https://ballotpedia.org/Georgia's_1st_Congressional_District,"Earl ""Buddy"" CarterIncumbent",99.6%,"210,243","Earl ""Buddy"" Carter",60.91%,"95,337",Brian Reese,39.09%,"61,175",Jack KingstonIncumbent,63%,"157,181",Earl Carter(R),62.0,"220,576",Patti Hewitt(D),38.0,"135,281",Earl Carter(R),59.1,"156,128",,,,Earl Carter(R),58.3,"189,457",Joyce Marie Griggs(D),41.7,"135,238",Earl Carter(R),57.7,"144,741",Lisa Ring(D),42.3,"105,942",,,,Lesli Messinger,37%,"92,399",Wade Herring(D),40.9,"107,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,10,https://ballotpedia.org/Georgia's_10th_Congressional_District,Jody HiceIncumbent,100%,"243,725",Jody Hice,66.52%,"130,703",Ken Dious,33.48%,"65,777",Paul BrounIncumbent,100%,"211,065",Mike Collins(R),63.1,"256,442",Lexy Doherty(D),36.9,"150,274",Mike Collins(R),64.5,"198,523",,,,Jody Hice(R),62.3,"235,810",Tabitha Johnson-Green(D),37.7,"142,636",Jody Hice(R),62.9,"190,396",Tabitha Johnson-Green(D),37.1,"112,339",,,,,,,Tabitha Johnson-Green(D),35.5,"109,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,11,https://ballotpedia.org/Georgia's_11th_Congressional_District,Barry LoudermilkIncumbent,67.4%,"217,935",Barry Loudermilk,100%,"161,532",,,,Phil GingreyIncumbent,68.6%,"196,968",Barry Loudermilk(R),65.6,"269,849",Tracey Verhoeven(D) (Write-in),2.5,"10,226",Barry Loudermilk(R),62.6,"190,086",,,,Barry Loudermilk(R),60.4,"245,259",Dana Barrett(D),39.6,"160,623",Barry Loudermilk(R),61.8,"191,887",Flynn Broady Jr.(D),38.2,"118,653",Don Wilson,32.6%,"105,383",Patrick Thompson,31.4%,"90,353",Antonio Daza(D),37.4,"113,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,12,https://ballotpedia.org/Georgia's_12th_Congressional_District,Rick AllenIncumbent,61.6%,"159,492",Rick Allen,54.75%,"91,336",John BarrowIncumbent,45.25%,"75,377",Lee Anderson,46.3%,"119,973",Rick Allen(R),60.3,"205,849",Liz Johnson(D),39.7,"135,417",Rick Allen(R),59.6,"158,047",,,,Rick Allen(R),58.4,"181,038",Liz Johnson(D),41.6,"129,061",Rick Allen(R),59.5,"148,986",Francys Johnson(D),40.5,"101,503",Tricia Carpenter McCracken,38.4%,"99,420",John BarrowIncumbent,53.7%,"139,148",Liz Johnson(D),40.4,"107,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,13,https://ballotpedia.org/Georgia's_13th_Congressional_District,,,,,,,David ScottIncumbent,100%,"159,445",S. Malik,28.3%,"79,550",Jonathan Chavez(R),28.2,"100,730",David Scott(D),71.8,"256,902",Caesar Gonzales(R),18.2,"48,228",,,,Becky E. Hites(R),22.6,"81,476",David Scott(D),77.4,"279,045",David Callahan(R),23.8,"69,760",David Scott(D),76.2,"223,157",David ScottIncumbent,100%,"252,833",David ScottIncumbent,71.7%,"201,988",David Scott(D),81.8,"216,388",Martin Cowen(L) (Write-in),0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,14,https://ballotpedia.org/Georgia's_14th_Congressional_District,Tom GravesIncumbent,100%,"216,743",Tom GravesIncumbent,100%,"118,782",,,,Tom GravesIncumbent,73%,"159,947",Marjorie Taylor Greene(R),64.4,"243,446",Shawn Harris(D),35.6,"134,759",Marjorie Taylor Greene(R),65.9,"170,162",,,,Marjorie Taylor Greene(R),74.7,"229,827",Kevin Van Ausdal(D)(Unofficially withdrew),25.3,"77,798",Tom Graves(R),76.5,"175,743",Steven Foster(D),23.5,"53,981",,,,Daniel Grant,27%,"59,245",Marcus Flowers(D),34.1,"88,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2,https://ballotpedia.org/Georgia's_2nd_Congressional_District,Greg Duke,38.8%,"94,056",Greg Duke,40.85%,"66,573",Sanford BishopIncumbent,59.15%,"96,363",John House,36.2%,"92,410",A. Wayne Johnson(R),43.7,"136,473",Sanford Bishop Jr.(D),56.3,"176,028",Chris West(R),45.0,"108,665",,,,Donald Cole(R),40.9,"111,620",Sanford Bishop Jr.(D),59.1,"161,397",Herman West Jr.(R),40.4,"92,472",Sanford Bishop Jr.(D),59.6,"136,699","Sanford Bishop, Jr.Incumbent",61.2%,"148,543",Sanford BishopIncumbent,63.8%,"162,751",Sanford Bishop Jr.(D),55.0,"132,675",,,,,,,,,,JaMelle Hill(Independent) (Write-in),0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,3,https://ballotpedia.org/Georgia's_3rd_Congressional_District,Drew Ferguson,68.3%,"207,218",Lynn WestmorelandIncumbent,100%,"156,277",,,,Lynn WestmorelandIncumbent,100%,"232,380",Brian Jack(R),66.3,"273,036",Maura Keller(D),33.7,"138,749",Drew Ferguson(R),68.7,"213,524",,,,Drew Ferguson(R),65.0,"241,526",Val Almonord(D),35.0,"129,792",Drew Ferguson(R),65.5,"191,996",Chuck Enderlin(D),34.5,"101,010",Angela Pendley,31.7%,"95,969",,,,Val Almonord(D),31.3,"97,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,4,https://ballotpedia.org/Georgia's_4th_Congressional_District,Victor Armendariz,24.3%,"70,593",,,,Hank JohnsonIncumbent,100%,"161,211",J. Chris Vaughn,26.4%,"75,041",Eugene Yu(R),24.4,"74,071",Hank Johnson(D),75.6,"229,290",Jonathan Chavez(R),21.5,"59,302",,,,Johsie Cruz Fletcher(R),19.9,"69,393",Hank Johnson(D),80.1,"278,906",Joe Profit(R),21.2,"61,092",Hank Johnson(D),78.8,"227,717",Hank JohnsonIncumbent,75.7%,"220,146",Henry C. JohnsonIncumbent,73.6%,"208,861",Hank Johnson(D),78.5,"216,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,5,https://ballotpedia.org/Georgia's_5th_Congressional_District,Douglas Bell,15.6%,"46,768",,,,John LewisIncumbent,100%,"170,326",Howard Stopeck,15.6%,"43,335",John Salvesen(R),14.3,"49,221",Nikema Williams(D),85.7,"294,470",Christian Zimm(R),17.5,"51,769",,,,Angela Stanton King(R),14.9,"52,646",Nikema Williams(D),85.1,"301,857",,,,John Lewis(D),100.0,"275,406",John LewisIncumbent,84.4%,"253,781",John LewisIncumbent,84.4%,"234,330",Nikema Williams(D),82.5,"243,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,6,https://ballotpedia.org/Georgia's_6th_Congressional_District,Tom PriceIncumbent,61.7%,"201,088",Tom PriceIncumbent,66.04%,"139,018",Robert Montigel,33.96%,"71,486",Tom PriceIncumbent,64.5%,"189,669",Jeff Criswell(R),25.3,"93,909",Elfreda Desvignes(D) (Write-in),0.0,45,Rich McCormick(R),62.2,"206,886",,,,Karen Handel(R),45.4,"180,329",Lucy McBath(D),54.6,"216,775",Karen Handel(R),49.5,"156,875",Lucy McBath(D),50.5,"160,139",Rodney Stooksbury,38.3%,"124,917",Jeff Kazanow,35.5%,"104,365",Bob Christian(D),37.8,"125,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,7,https://ballotpedia.org/Georgia's_7th_Congressional_District,Rob WoodallIncumbent,60.4%,"174,081",Rob Woodall,65.39%,"113,557",Thomas Wight,34.61%,"60,112",Rob WoodallIncumbent,62.2%,"156,689",Rich McCormick(R),64.9,"275,907",Bob Christian(D),35.1,"149,535",Lisa Babbage(R) (Write-in),0.0,14,,,,Rich McCormick(R),48.6,"180,564",Carolyn Bourdeaux(D),51.4,"190,900",Rob Woodall(R),50.1,"140,443",Carolyn Bourdeaux(D),49.9,"140,010",Rashid Malik,39.6%,"114,220",Steve Reilly,37.8%,"95,377",Lucy McBath(D),61.0,"143,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,8,https://ballotpedia.org/Georgia's_8th_Congressional_District,Austin ScottIncumbent,67.6%,"173,983",Austin ScottIncumbent,100%,"129,938",,,,Austin ScottIncumbent,100%,"197,789",Austin Scott(R),68.9,"231,547",Darrius Butler(D),31.1,"104,434",Austin Scott(R),68.6,"178,700",,,,Austin Scott(R),64.5,"198,701",Lindsay Holliday(D),35.5,"109,264",Austin Scott(R),99.7,"198,152",,,,James Neal Harris,32.4%,"83,225",,,,Darrius Butler(D),31.4,"81,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Cooper III(G) (Write-in),0.0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,9,https://ballotpedia.org/Georgia's_9th_Congressional_District,Doug CollinsIncumbent,100%,"256,535",Doug CollinsIncumbent,80.67%,"146,059",David Vogel,19.33%,"34,988",Doug Collins,76.2%,"192,101",Andrew Clyde(R),69.0,"271,062",Tambrei Cash(D),31.0,"121,754",Andrew Clyde(R),72.4,"212,820",,,,Andrew Clyde(R),78.6,"292,750",Devin Pandy(D),21.4,"79,797",Doug Collins(R),79.5,"224,661",Josh McCall(D),20.5,"57,912",,,,Jody Cooley,23.8%,"60,052",Michael Ford(D),27.6,"81,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,1,https://ballotpedia.org/Hawaii's_1st_Congressional_District,Shirlene Ostrov,22.7%,"45,958",Charles Djou,47.4%,"86,454",Mark Takai,51.2%,"93,390",Charles Djou,44.5%,"96,824",Patrick Largey(R),28.2,"64,373",Ed Case(D),71.8,"164,237",Conrad Kress(R),26.3,"51,217",,,,Ron Curtis(R),28.0,"71,188",Ed Case(D),72.0,"183,245",Cam Cavasso(R),23.1,"42,498",Ed Case(D),73.1,"134,650",Colleen Hanabusa,71.9%,"145,417",Colleen HanabusaIncumbent,53.5%,"116,505",Ed Case(D),73.7,"143,546",,,,,,,,,,,,,Alan Yim,3.3%,"6,601",Calvin Griffin,2.2%,"4,381",,,,,,,,,,,,,,,,,,,Zachary Burd(G),1.2,"2,214",,,,,,,Michelle Rose Tippens(L),1.9,"3,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
